BRA ID MIR,HS ID HS4,Year,Exports,Imports
1am0002,4823,2013,236.0,3351774.0
1am0002,4823,2014,214.0,3098463.0
1am0002,4901,2011,1.0,63337.0
1am0002,4901,2012,49.0,86871.0
1am0002,4901,2013,9105.0,107481.0
1am0002,4907,2011,6.0,5907.0
1am0002,4908,2011,6017.0,39962.0
1am0002,4908,2012,135.0,63256.0
1am0002,4911,2011,5760.0,1602630.0
1am0002,4911,2012,8728.0,1583969.0
1am0002,4911,2013,3925.0,2607564.0
1am0002,4911,2014,6993.0,3404272.0
1am0002,5407,2012,7498.0,2460184.0
1am0002,5602,2011,21286.0,3786896.0
1am0002,5602,2012,27009.0,3618344.0
1am0002,5602,2013,40415.0,2684105.0
1am0002,5602,2014,45330.0,3611528.0
1am0002,5603,2013,60577.0,480224.0
1am0002,5807,2013,44.0,61647.0
1am0002,5903,2012,2206.0,616155.0
1am0002,5903,2014,127929.0,1065871.0
1am0002,5906,2012,3.0,491327.0
1am0002,5906,2014,1849.0,522642.0
1am0002,5910,2014,1851.0,37193.0
1am0002,6105,2011,2079.0,395753.0
1am0002,6203,2011,113510.0,591662.0
1am0002,6203,2012,246515.0,321959.0
1am0002,6203,2013,230569.0,477948.0
1am0002,6203,2014,142381.0,178809.0
1am0002,6306,2014,145800.0,167965.0
1am0002,6307,2012,1.0,1631572.0
1am0002,6307,2014,277.0,1057894.0
1am0002,6804,2011,25024.0,742495.0
1am0002,6805,2011,5876.0,734520.0
1am0002,6812,2013,901.0,48227.0
1am0002,6812,2014,628.0,236524.0
1am0002,6813,2011,132.0,1407029.0
1am0002,6815,2013,1100.0,357775.0
1am0002,6815,2014,336.0,322584.0
1am0002,6914,2014,3.0,183274.0
1am0002,7007,2013,11.0,647837.0
1am0002,7009,2011,30.0,6893824.0
1am0002,7009,2012,2620.0,5180729.0
1am0002,7009,2013,1312.0,5081731.0
1am0002,7009,2014,5955.0,4474005.0
1am0002,7015,2012,87.0,102753.0
1am0002,7015,2013,1.0,68492.0
1am0002,7015,2014,36.0,57558.0
1am0002,7019,2011,1464.0,4366310.0
1am0002,7019,2012,43806.0,2891014.0
1am0002,7019,2013,145642.0,2675099.0
1am0002,7019,2014,60503.0,1639809.0
1am0002,7106,2011,848999.0,192380338.0
1am0002,7106,2014,16882.0,109975572.0
1am0002,7108,2013,86790.0,552794.0
1am0002,7115,2013,436150.0,172528.0
1am0002,7115,2014,273150.0,148296.0
1am0002,7204,2011,5958384.0,324.0
1am0002,7204,2012,829161.0,87.0
1am0002,7204,2013,3002767.0,3703.0
1am0002,7204,2014,3885024.0,5440.0
1am0002,7208,2014,123.0,23795632.0
1am0002,7210,2011,1882.0,46125867.0
1am0002,7210,2012,77525.0,67274013.0
1am0002,7210,2013,890.0,56722352.0
1am0002,7210,2014,3470.0,84168185.0
1am0002,7211,2012,58.0,2430472.0
1am0002,7212,2012,3633.0,10343391.0
1am0002,7212,2013,344.0,9142535.0
1am0002,7212,2014,223.0,11643877.0
1am0002,7215,2011,6.0,333736.0
1am0002,7215,2012,555.0,175871.0
1am0002,7215,2014,9.0,173075.0
1am0002,7219,2013,85500.0,498199.0
1am0002,7220,2013,3740.0,11637376.0
1am0002,7220,2014,6255.0,12430434.0
1am0002,7225,2013,5283.0,1298510.0
1am0002,7229,2013,378.0,867305.0
1am0002,7306,2011,1552.0,3529487.0
1am0002,7306,2012,181.0,3852207.0
1am0002,7307,2012,258.0,893274.0
1am0002,7307,2013,808.0,1723221.0
1am0002,7307,2014,946.0,1475035.0
1am0002,7309,2011,2756000.0,630227.0
1am0002,7309,2012,3816000.0,959604.0
1am0002,7309,2013,3392000.0,151249.0
1am0002,7309,2014,3984000.0,131243.0
1am0002,7310,2011,276225.0,150305.0
1am0002,7310,2012,263475.0,330371.0
1am0002,7310,2013,230245.0,344262.0
1am0002,7310,2014,10161.0,1476458.0
1am0002,7312,2011,921.0,837100.0
1am0002,7314,2013,18.0,8984555.0
1am0002,7315,2011,203507.0,13014454.0
1am0002,7315,2012,594.0,11465706.0
1am0002,7315,2013,2345.0,9905918.0
1am0002,7315,2014,11902.0,9610667.0
1am0002,7317,2011,486.0,785508.0
1am0002,7317,2012,35.0,525103.0
1am0002,7317,2013,88.0,869932.0
1am0002,7317,2014,91.0,709514.0
1am0002,7318,2011,144373.0,110349190.0
1am0002,7318,2012,3561960.0,107416107.0
1am0002,7318,2013,132642.0,104923321.0
1am0002,7318,2014,135272.0,87105146.0
1am0002,7320,2011,115909.0,14586489.0
1am0002,7320,2012,7898.0,13940422.0
1am0002,7320,2013,17846.0,10819357.0
1am0002,7320,2014,34298.0,10155828.0
1am0002,7322,2012,49.0,3011.0
1am0002,7322,2014,750.0,86650.0
1am0002,7325,2011,62.0,421036.0
1am0002,7325,2012,80.0,247787.0
1am0002,7325,2013,2765.0,88959.0
1am0002,7326,2011,854081.0,12319602.0
1am0002,7326,2012,1407892.0,22678459.0
1am0002,7326,2013,1539733.0,17486292.0
1am0002,7326,2014,1765583.0,13947793.0
1am0002,7408,2012,476.0,659244.0
1am0002,7408,2013,72032.0,998263.0
1am0002,7408,2014,5079.0,819308.0
1am0002,7410,2012,221.0,187964.0
1am0002,7410,2013,12503.0,166954.0
1am0002,7410,2014,2.0,76631.0
1am0002,7411,2013,328788.0,56036085.0
1am0002,7411,2014,1065.0,61675639.0
1am0002,7412,2011,40.0,2658537.0
1am0002,7412,2012,1087.0,2951262.0
1am0002,7413,2011,626.0,202152.0
1am0002,7413,2014,0.0,168146.0
1am0002,7415,2011,2.0,3810286.0
1am0002,7415,2012,1109.0,4193376.0
1am0002,7415,2013,5072.0,5580943.0
1am0002,7415,2014,8704.0,5828488.0
1am0002,7419,2012,21.0,479017.0
1am0002,7419,2014,24.0,2465062.0
1am0002,7506,2013,4.0,221493.0
1am0002,7506,2014,153.0,426745.0
1am0002,7508,2012,1098.0,881403.0
1am0002,7601,2012,420063.0,11734804.0
1am0002,7601,2014,7688.0,5196621.0
1am0002,7602,2012,1230.0,9816294.0
1am0002,7602,2014,421488.0,1214162.0
1am0002,7604,2011,14337.0,952184.0
1am0002,7604,2013,38560.0,2426269.0
1am0002,7604,2014,87.0,1981632.0
1am0002,7606,2011,107371.0,53551422.0
1am0002,7606,2013,916663.0,87220153.0
1am0002,7607,2013,160452.0,11618265.0
1am0002,7607,2014,2797.0,11121609.0
1am0002,7609,2011,1604.0,64450.0
1am0002,7612,2011,99048.0,944086.0
1am0002,7612,2012,142504.0,322778.0
1am0002,7612,2013,145944.0,202099.0
1am0002,7612,2014,134198.0,60277.0
1am0002,7616,2011,18.0,4559389.0
1am0002,7616,2012,2444.0,4721329.0
1am0002,7616,2013,26.0,5397642.0
1am0002,7616,2014,20292.0,5889727.0
1am0002,7806,2012,147448.0,412.0
1am0002,7806,2014,190937.0,594.0
1am0002,7907,2012,124.0,532401.0
1am0002,7907,2013,97.0,378281.0
1am0002,7907,2014,102.0,270643.0
1am0002,8001,2011,17138.0,5525579.0
1am0002,8001,2012,397165.0,3463131.0
1am0002,8001,2013,2120789.0,1331263.0
1am0002,8001,2014,1039844.0,664282.0
1am0002,8003,2011,4687944.0,1371701.0
1am0002,8003,2012,5141275.0,1179243.0
1am0002,8003,2013,3834571.0,857572.0
1am0002,8003,2014,1772582.0,741497.0
1am0002,8007,2012,23396.0,5993533.0
1am0002,8007,2014,21010.0,5197269.0
1am0002,8203,2012,64.0,414800.0
1am0002,8204,2011,53.0,484865.0
1am0002,8204,2012,381.0,298564.0
1am0002,8205,2012,48.0,1137164.0
1am0002,8205,2014,6738.0,976545.0
1am0002,8206,2011,1662.0,2964245.0
1am0002,8206,2012,90.0,2215130.0
1am0002,8206,2013,1770.0,2002057.0
1am0002,8206,2014,1372.0,1777028.0
1am0002,8207,2012,136652.0,4951464.0
1am0002,8207,2013,26800.0,9642440.0
1am0002,8207,2014,39138.0,12944808.0
1am0002,8209,2014,317.0,32687.0
1am0002,8212,2011,106018124.0,13315756.0
1am0002,8212,2012,121875690.0,12874917.0
1am0002,8212,2013,124670514.0,12644002.0
1am0002,8212,2014,121133638.0,13448549.0
1am0002,8301,2011,130966.0,13636524.0
1am0002,8301,2012,128866.0,11802680.0
1am0002,8301,2013,131327.0,11280375.0
1am0002,8301,2014,47196.0,10954693.0
1am0002,8302,2011,732266.0,8610917.0
1am0002,8302,2012,1484948.0,3830819.0
1am0002,8302,2013,1529698.0,2205971.0
1am0002,8302,2014,483471.0,1340963.0
